_id,ltable_id,rtable_id,ltable_Brand,ltable_Type,ltable_Chipset,ltable_Screen_Dimension,rtable_Brand,rtable_Type,rtable_Chipset,rtable_Screen_Dimension
0,0,0,Samsung,"Galaxy A10 (Black, 2GB RAM and 32GB) with No Cost EMI/Additional Exchange Offers",Exynos 7884 octa core processor,6.2-inch,Samsung,Galaxy A10,Exynos 7884 Octa,"6.2 inches, 95.9 cm (~81.6% screen-to-body ratio)"
1,2,1,Samsung,"Galaxy A20 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 7884 octa core processor,6.4-inch,Samsung,Galaxy A20,Exynos 7884,"6.4 inches, 100.5 cm (~85.0% screen-to-body ratio)"
2,1,2,Samsung,"Galaxy A2 Core (Blue, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 7870 Octa-Core processor,5.0-inch,Samsung,Galaxy A2 Core,Exynos 7870 Octa (14 nm),"5.0 inches, 68.9 cm"
3,3,3,Samsung,"Galaxy A30 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 7904 octa core processor,6.4-inch,Samsung,Galaxy A30,Exynos 7904 (14 nm),"6.4 inches, 100.5 cm (~84.9% screen-to-body ratio)"
4,5,4,Samsung,"Galaxy A6 (Black, 4GB RAM, 64GB Storage) with Offers",Exynos 7870 octa core processor,5.6-inch,Samsung,Galaxy A6 (2018),Exynos 7870 Octa (14 nm),"5.6 inches, 79.6 cm (~75.0% screen-to-body ratio)"
5,4,5,Samsung,"Galaxy A50 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 9610 Octa Core Processor,6.4-inch,Samsung,Galaxy A50,Exynos 9610 (10nm),"6.4 inches, 100.5 cm (~84.9% screen-to-body ratio)"
6,6,6,Samsung,Galaxy A7 SM-A710FZDFINS (Gold),Exynos 7880 octa core processor,5.7-inch,Samsung,Galaxy A7 (2017),Exynos 7880 (14 nm),"5.7 inches, 89.6 cm (~73.6% screen-to-body ratio)"
7,8,7,Samsung,"Galaxy A8 Star (Black, 6GB RAM, 64GB Storage)",SDM660 Snapdragon Qualcomm octa core processor,6.3-inch,Samsung,Galaxy A8 Star (A9 Star),Qualcomm SDM660 Snapdragon 660 (14 nm),"6.3 inches, 100.7 cm (~80.6% screen-to-body ratio)"
8,9,7,Samsung,"Galaxy A8+ (Black, 6GB RAM, 64GB Storage)",Exyn operating system 7885 octa core processor,6.0-inch,Samsung,Galaxy A8 Star (A9 Star),Qualcomm SDM660 Snapdragon 660 (14 nm),"6.3 inches, 100.7 cm (~80.6% screen-to-body ratio)"
9,7,8,Samsung,"Galaxy A70 (Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Qualcomm Snapdragon SDM675 octa core processor,6.7-inch,Samsung,Galaxy A70,Qualcomm SDM675 Snapdragon 675 (11 nm),"6.7 inches, 108.4 cm (~86.0% screen-to-body ratio)"
10,8,9,Samsung,"Galaxy A8 Star (Black, 6GB RAM, 64GB Storage)",SDM660 Snapdragon Qualcomm octa core processor,6.3-inch,Samsung,Galaxy A8+ (2018),Exynos 7885 (14 nm),"6.0 inches, 91.4 cm (~75.5% screen-to-body ratio)"
11,9,9,Samsung,"Galaxy A8+ (Black, 6GB RAM, 64GB Storage)",Exyn operating system 7885 octa core processor,6.0-inch,Samsung,Galaxy A8+ (2018),Exynos 7885 (14 nm),"6.0 inches, 91.4 cm (~75.5% screen-to-body ratio)"
12,11,10,Samsung,"Galaxy J6 (Black, 4GB RAM, 64GB Storage)",Exyn operating system 7870 octa core processor,5.6-inch,Samsung,Galaxy J6,Exynos 7870 Octa (14 nm),"5.6 inches, 80.1 cm (~76.5% screen-to-body ratio)"
13,10,11,Samsung,"Galaxy J4 (Black, 32GB) with No Cost EMI/Additional Exchange Offers",Exynos 7570 quad core processor,5.5-inch,Samsung,Galaxy J4,Exynos 7570 Quad (14 nm),"5.5 inches, 83.4 cm (~71.2% screen-to-body ratio)"
14,12,12,Samsung,"Galaxy M10 (Charcoal Black, 3+32GB)",Exynos 7870 octa-core processor,"6.22""",Samsung,Galaxy M10,Exynos 7870 Octa (14 nm),"6.22 inches, 96.6 cm (~82.1% screen-to-body ratio)"
15,14,13,Samsung,"Galaxy M30 (Gradation Black, 4+64 GB)",Exynos 7904 octa core processor,6.4-inch,Samsung,Galaxy M30,Exynos 7904 (14 nm),"6.4 inches, 105.2 cm (~88.1% screen-to-body ratio)"
16,13,14,Samsung,"Galaxy M20 (Charcoal Black, 3+32GB)",Exynos 7904 octa-core processor,"6.3""",Samsung,Galaxy M20,Exynos 7904 (14 nm),"6.3 inches, 97.4 cm (~83.6% screen-to-body ratio)"
17,15,15,Samsung,"Galaxy M40 (Cocktail Orange, 6GB RAM, 128GB Storage)",Qualcomm Snapdragon SD 675 octa core processor,6.3-inch,Samsung,Galaxy M40,Qualcomm SDM675 Snapdragon 675 (11 nm),"6.3 inches, 97.4 cm (~84.9% screen-to-body ratio)"
18,17,16,Samsung,"Galaxy S10 Plus (Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 9820 octa core processor,6.4-inch,Samsung,Galaxy S10+,"Exynos 9820 (8 nm) - EMEAQualcomm SDM855 Snapdragon 855 (7 nm) - USA/LATAM, China","6.4 inches, 103.8 cm (~88.9% screen-to-body ratio)"
19,18,18,Samsung,"Galaxy S10e (Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 9820 octa core processor,5.8-inch,Samsung,Galaxy S10e,"Exynos 9820 (8 nm) - EMEAQualcomm SDM855 Snapdragon 855 (7 nm) - USA/LATAM, China","5.8 inches, 82.8 cm (~83.3% screen-to-body ratio)"
20,19,19,Samsung,Galaxy S8 G950FD 64GB DUAL SIM Unlocked Phone-Midnight (Black),Exynos 8895,"5. 8""",Samsung,Galaxy S8+,Exynos 8895 (10 nm) - EMEAQualcomm MSM8998 Snapdragon 835 (10 nm) - USA & China,"6.2 inches, 98.3 cm (~84.0% screen-to-body ratio)"
21,20,19,Samsung,Galaxy S8+ (Midnight Black) 128 GB with Offer,Exynos 8895,6.2 inch,Samsung,Galaxy S8+,Exynos 8895 (10 nm) - EMEAQualcomm MSM8998 Snapdragon 835 (10 nm) - USA & China,"6.2 inches, 98.3 cm (~84.0% screen-to-body ratio)"
22,19,20,Samsung,Galaxy S8 G950FD 64GB DUAL SIM Unlocked Phone-Midnight (Black),Exynos 8895,"5. 8""",Samsung,Galaxy S8,Exynos 8895 (10 nm) - EMEAQualcomm MSM8998 Snapdragon 835 (10 nm) - USA & China,"5.8 inches, 84.8 cm (~83.6% screen-to-body ratio)"
23,20,20,Samsung,Galaxy S8+ (Midnight Black) 128 GB with Offer,Exynos 8895,6.2 inch,Samsung,Galaxy S8,Exynos 8895 (10 nm) - EMEAQualcomm MSM8998 Snapdragon 835 (10 nm) - USA & China,"5.8 inches, 84.8 cm (~83.6% screen-to-body ratio)"
24,21,21,Samsung,"Galaxy S9 (4GB RAM, 256GB Storage) Midnight Black",Exynos 9810 Octa-core Processor,5.8-inch,Samsung,Galaxy S9,"Exynos 9810 (10 nm) - EMEAQualcomm SDM845 Snapdragon 845 (10 nm) - USA/LATAM, China","5.8 inches, 84.8 cm (~83.6% screen-to-body ratio)"
25,22,21,Samsung,"Galaxy S9 Plus SM-G965FZKDINS (Midnight Black, 6GB RAM, 64GB Storage) Without Offer",Exynos 9810 octa core processor,6.2-inch,Samsung,Galaxy S9,"Exynos 9810 (10 nm) - EMEAQualcomm SDM845 Snapdragon 845 (10 nm) - USA/LATAM, China","5.8 inches, 84.8 cm (~83.6% screen-to-body ratio)"
26,23,22,Apple,iPhone 6s (32GB) - Gold,A9 chip,4.7-inch,Apple,iPhone 6s,Apple A9 (14 nm),"4.7 inches, 60.9 cm (~65.6% screen-to-body ratio)"
27,21,23,Samsung,"Galaxy S9 (4GB RAM, 256GB Storage) Midnight Black",Exynos 9810 Octa-core Processor,5.8-inch,Samsung,Galaxy S9+,"Exynos 9810 (10 nm) - EMEAQualcomm SDM845 Snapdragon 845 (10 nm) - USA/LATAM, China","6.2 inches, 98.3 cm (~84.2% screen-to-body ratio)"
28,22,23,Samsung,"Galaxy S9 Plus SM-G965FZKDINS (Midnight Black, 6GB RAM, 64GB Storage) Without Offer",Exynos 9810 octa core processor,6.2-inch,Samsung,Galaxy S9+,"Exynos 9810 (10 nm) - EMEAQualcomm SDM845 Snapdragon 845 (10 nm) - USA/LATAM, China","6.2 inches, 98.3 cm (~84.2% screen-to-body ratio)"
29,24,24,Apple,iPhone 8 Plus (256GB) - Silver,A11 Bionic,5.5-inch,Apple,iPhone 8 Plus,Apple A11 Bionic (10 nm),"5.5 inches, 83.4 cm (~67.4% screen-to-body ratio)"
30,26,25,Apple,iPhone Xs (256GB) - Space Grey,A12 Bionic,5.8-inch,Apple,iPhone XS,Apple A12 Bionic (7 nm),"5.8 inches, 84.4 cm (~82.9% screen-to-body ratio)"
31,27,25,Apple,iPhone Xs Max (256GB) - Gold,A12 Bionic,6.5-inch,Apple,iPhone XS,Apple A12 Bionic (7 nm),"5.8 inches, 84.4 cm (~82.9% screen-to-body ratio)"
32,25,26,Apple,iPhone XR (128GB) - Black,A12 Bionic,6.1-inch,Apple,iPhone XR,Apple A12 Bionic (7 nm),"6.1 inches, 90.3 cm (~79.0% screen-to-body ratio)"
33,26,27,Apple,iPhone Xs (256GB) - Space Grey,A12 Bionic,5.8-inch,Apple,iPhone XS Max,Apple A12 Bionic (7 nm),"6.5 inches, 102.9 cm (~84.4% screen-to-body ratio)"
34,27,27,Apple,iPhone Xs Max (256GB) - Gold,A12 Bionic,6.5-inch,Apple,iPhone XS Max,Apple A12 Bionic (7 nm),"6.5 inches, 102.9 cm (~84.4% screen-to-body ratio)"
35,24,28,Apple,iPhone 8 Plus (256GB) - Silver,A11 Bionic,5.5-inch,Apple,iPhone 7 Plus,Apple A10 Fusion (16 nm),"5.5 inches, 83.4 cm (~67.7% screen-to-body ratio)"
36,29,28,Apple,iPhoneÂ 7 Plus (128GB) - Rose Gold,A10 Fusion chip,5.5-inch,Apple,iPhone 7 Plus,Apple A10 Fusion (16 nm),"5.5 inches, 83.4 cm (~67.7% screen-to-body ratio)"
37,30,30,Google,"Pixel 2 XL (18:9 Display, 64 GB) Black",Qualcomm Snapdragon 835 64-bit octa core processor,6-inch,Google,Pixel 2 XL,Qualcomm MSM8998 Snapdragon 835 (10 nm),"6.0 inches, 92.6 cm (~76.4% screen-to-body ratio)"
38,31,32,Honor,"10 Lite (Midnight Black, 3GB RAM, 32GB Storage)",Kirin 710 octa core processor,6.21-inch,Honor,10 Lite,Hisilicon Kirin 710 (12 nm),"6.21 inches, 94.7 cm (~83.1% screen-to-body ratio)"
39,36,36,Honor,"9 Lite (Black, 4GB RAM, 64GB Storage)",Kirin 659 octa core processor,5.65-inch,Honor,9 Lite,HiSilicon Kirin 659 (16 nm),"5.65 inches, 82.0 cm (~75.5% screen-to-body ratio)"
40,38,37,HTC,"Desire 12 + (Cool Black, 3GB RAM, 32GB Storage)",Qualcomm Snapdragon 450 64-bit octa core processor,6-inch,HTC,Desire 12+,Qualcomm SDM450 Snapdragon 450 (14 nm),"6.0 inches, 92.9 cm (~76.7% screen-to-body ratio)"
41,19,39,Samsung,Galaxy S8 G950FD 64GB DUAL SIM Unlocked Phone-Midnight (Black),Exynos 8895,"5. 8""",HTC,Desire 820G+ dual sim,Mediatek MT6592 (28 nm),"5.5 inches, 83.4 cm (~67.2% screen-to-body ratio)"
42,39,39,HTC,Desire 820G Plus (Milkyway Grey),MT6592 octa core processor,5.5-inch,HTC,Desire 820G+ dual sim,Mediatek MT6592 (28 nm),"5.5 inches, 83.4 cm (~67.2% screen-to-body ratio)"
43,61,39,LG,"K10 (16GB Dual SIM, Black-Gold)",Qualcomm MSM8916 quad core processor,5.3-inch,HTC,Desire 820G+ dual sim,Mediatek MT6592 (28 nm),"5.5 inches, 83.4 cm (~67.2% screen-to-body ratio)"
44,41,40,Huawei,"Nova 3i (Black, 4GB RAM, 128GB Storage)",Kirin 710 Octa core processor,6.3-inch,Huawei,nova 3i,Hisilicon Kirin 710 (12 nm),"6.3 inches, 97.4 cm (~82.2% screen-to-body ratio)"
45,40,41,HUAWEI,"MediaPad T5 Tablet (10.1 inch, 32GB, Wi-Fi + 4G LTE) Black",Kirin 659 octa-core processor,10.1-inch,Huawei,MediaPad T5,HiSilicon Kirin 659 (16 nm),"10.1 inches, 295.8 cm (~74.2% screen-to-body ratio)"
46,42,42,Huawei,"P30 Lite (Midnight Black, 4GB RAM, 128GB Storage)",Kirin 710 octa core processor,6.15-inch,Huawei,P30 lite,Hisilicon Kirin 710 (12 nm),"6.15 inches, 93.6 cm (~84.2% screen-to-body ratio)"
47,44,43,Huawei,"Y9 2019 (Black, 4GB RAM, 64GB Storage)",Kirin 710 octa core processor,6.5-inch,Huawei,Y9 (2019),Hisilicon Kirin 710 (12 nm),"6.5 inches, 103.7 cm (~82.8% screen-to-body ratio)"
48,43,44,Huawei,"P30 Pro (Breathing Crystal, 8GB RAM, 256GB Storage)",Kirin 980 octa core processor,6.47-inch,Huawei,P30 Pro,HiSilicon Kirin 980 (7 nm),"6.47 inches, 102.8 cm (~88.6% screen-to-body ratio)"
49,55,56,Lenovo,K6 Note (Silver),Qualcomm MSM8937 Snapdragon 430 octa core processor,5.5-inch,Lenovo,K6 Note,Qualcomm MSM8937 Snapdragon 430 (28 nm),"5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)"
50,57,57,Lenovo,"K8 Note (Venom Black, 4GB RAM, 64GB Storage) System Update",Mediatek MTK6797D quad core processor,5.5-inch,Lenovo,K8 Note,Mediatek MT6797D Helio X23 (20 nm),"5.5 inches, 83.4 cm (~71.1% screen-to-body ratio)"
51,58,58,Lenovo,"Yoga Tab 3 10 Tablet (10.1 inch, 16GB, Wi-Fi + 4G LTE), Slate Black",Qualcomm MSM8909 quad core processor,10.1-inch,Lenovo,Yoga Tab 3 8.0,Qualcomm MSM8909 Snapdragon 210 (28 nm),"8.0 inches, 185.6 cm (~60.7% screen-to-body ratio)"
52,59,58,Lenovo,"Yoga Tab 3 8 Tablet (8 inch, 16GB, Wi-Fi + 4G LTE), Slate Black",Qualcomm APQ8009/MSM8909 quad core processor,8-inch,Lenovo,Yoga Tab 3 8.0,Qualcomm MSM8909 Snapdragon 210 (28 nm),"8.0 inches, 185.6 cm (~60.7% screen-to-body ratio)"
53,58,59,Lenovo,"Yoga Tab 3 10 Tablet (10.1 inch, 16GB, Wi-Fi + 4G LTE), Slate Black",Qualcomm MSM8909 quad core processor,10.1-inch,Lenovo,Yoga Tab 3 10,Qualcomm MSM8909 Snapdragon 210 (28 nm) - 3G/LTE modelQualcomm APQ8009 (28 nm) - Wi-Fi model,"10.1 inches, 295.8 cm (~63.2% screen-to-body ratio)"
54,59,59,Lenovo,"Yoga Tab 3 8 Tablet (8 inch, 16GB, Wi-Fi + 4G LTE), Slate Black",Qualcomm APQ8009/MSM8909 quad core processor,8-inch,Lenovo,Yoga Tab 3 10,Qualcomm MSM8909 Snapdragon 210 (28 nm) - 3G/LTE modelQualcomm APQ8009 (28 nm) - Wi-Fi model,"10.1 inches, 295.8 cm (~63.2% screen-to-body ratio)"
55,63,63,LG,"Q Stylus (Black, 4GB RAM, 64GB Storage)",MT6750 octa core processor,6.2-inch,LG,Q Stylus,Mediatek MT6750 - Q Stylus/Q Stylus Î±,"6.2 inches, 99.7 cm (~80.2% screen-to-body ratio)"
56,68,67,Xiaomi,"Mi A2 (Black, 6GB RAM, 128GB Storage)",Qualcomm Snapdragon 660 octa core processor,5.99-inch,Xiaomi,Mi A2 (Mi 6X),Qualcomm SDM660 Snapdragon 660 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
57,69,69,Xiaomi,"Mi Mix 2 (Black, 6GB RAM, 128GB Storage)",Qualcomm MSM8998 quad core processor,5.99-inch,Xiaomi,Mi Mix 2,Qualcomm MSM8998 Snapdragon 835 (10 nm),"5.99 inches, 92.6 cm (~80.8% screen-to-body ratio)"
58,71,70,Xiaomi,"Mi Redmi 5 (Blue, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 450 octa-core processor,5.7-inch,Xiaomi,Redmi 5,Qualcomm SDM450 Snapdragon 450 (14 nm),"5.7 inches, 83.8 cm (~75.9% screen-to-body ratio)"
59,74,70,Xiaomi,"MI Redmi Note 5 (3 GB RAM, 32 GB, Gold)",Snapdragon 625 processor,15.2 cm (5.99),Xiaomi,Redmi 5,Qualcomm SDM450 Snapdragon 450 (14 nm),"5.7 inches, 83.8 cm (~75.9% screen-to-body ratio)"
60,124,70,Xiaomi,"Redmi Note 5 Pro (Blue, 6GB RAM, 64GB Storage)",Qualcomm snapdragon 636,"15.91 cm (5.99"")",Xiaomi,Redmi 5,Qualcomm SDM450 Snapdragon 450 (14 nm),"5.7 inches, 83.8 cm (~75.9% screen-to-body ratio)"
61,70,71,Xiaomi,"Mi Redmi 4 (Gold, 64GB)",Qualcomm MSM8940 quad core processor,5-inch,Xiaomi,Redmi 4 (4X),Qualcomm MSM8940 Snapdragon 435 (28 nm),"5.0 inches, 68.9 cm (~70.7% screen-to-body ratio)"
62,123,71,Xiaomi,"Redmi Note 4 (Grey, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 625,13.9 centimeters (5.5-inch),Xiaomi,Redmi 4 (4X),Qualcomm MSM8940 Snapdragon 435 (28 nm),"5.0 inches, 68.9 cm (~70.7% screen-to-body ratio)"
63,72,72,Xiaomi,"Mi Redmi 6 (Black, 3Gb+64Gb)",Mediatek MTK6762 quad core processor,5.45 Inch,Xiaomi,Redmi 6,Mediatek MT6762 Helio P22 (12 nm),"5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)"
